"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Anthony Davis",11500,"Ind@NO 08:00PM ET",56.927,"NO"
"PG","Giannis Antetokounmpo",9500,"Chi@Mil 08:00PM ET",49.750,"Mil"
"SF/PF","Kevin Durant",9200,"NY@GS 10:30PM ET",49.269,"GS"
"SG/SF","Jimmy Butler",9000,"Chi@Mil 08:00PM ET",44.417,"Chi"
"PG","Damian Lillard",8800,"Por@Den 09:00PM ET",44.481,"Por"
"PG","Stephen Curry",8600,"NY@GS 10:30PM ET",43.894,"GS"
"SF","Kawhi Leonard",8300,"SA@Pho 09:00PM ET",41.930,"SA"
"SF/PF","Paul George",8100,"Ind@NO 08:00PM ET",39.750,"Ind"
"PF","Kristaps Porzingis",8000,"NY@GS 10:30PM ET",38.110,"NY"
"PF/C","Draymond Green",7900,"NY@GS 10:30PM ET",39.930,"GS"
"PG","Eric Bledsoe",7800,"SA@Pho 09:00PM ET",38.680,"Pho"
"SF","Carmelo Anthony",7400,"NY@GS 10:30PM ET",36.800,"NY"
"SG","Dwyane Wade",7000,"Chi@Mil 08:00PM ET",34.534,"Chi"
"PG/SG","C.J. McCollum",6900,"Por@Den 09:00PM ET",35.917,"Por"
"PG","Jrue Holiday",6700,"Ind@NO 08:00PM ET",31.750,"NO"
"C","Nikola Jokic",6500,"Por@Den 09:00PM ET",26.886,"Den"
"SG","Klay Thompson",6400,"NY@GS 10:30PM ET",31.596,"GS"
"PG","Jeff Teague",6400,"Ind@NO 08:00PM ET",33.788,"Ind"
"SF/PF","Jabari Parker",6300,"Chi@Mil 08:00PM ET",32.130,"Mil"
"PG","Derrick Rose",6200,"NY@GS 10:30PM ET",29.272,"NY"
"PF/C","LaMarcus Aldridge",6100,"SA@Pho 09:00PM ET",30.864,"SA"
"SG/SF","Tyreke Evans",6000,"Ind@NO 08:00PM ET",0,"NO"
"C","Myles Turner",6000,"Ind@NO 08:00PM ET",31.810,"Ind"
"SG/SF","Will Barton",5900,"Por@Den 09:00PM ET",25.615,"Den"
"PG","Tim Frazier",5900,"Ind@NO 08:00PM ET",29.163,"NO"
"PG","Rajon Rondo",5800,"Chi@Mil 08:00PM ET",29.613,"Chi"
"SF/PF","Wilson Chandler",5700,"Por@Den 09:00PM ET",31.057,"Den"
"C","Mason Plumlee",5600,"Por@Den 09:00PM ET",29.222,"Por"
"C","Tyson Chandler",5400,"SA@Pho 09:00PM ET",25.985,"Pho"
"SF","Danilo Gallinari",5300,"Por@Den 09:00PM ET",27.125,"Den"
"SG/SF","Devin Booker",5200,"SA@Pho 09:00PM ET",27.615,"Pho"
"C","Pau Gasol",5200,"SA@Pho 09:00PM ET",28.500,"SA"
"PF/C","Kyle O'Quinn",5100,"NY@GS 10:30PM ET",17.990,"NY"
"SF","T.J. Warren",5100,"SA@Pho 09:00PM ET",28.846,"Pho"
"PG","Emmanuel Mudiay",5000,"Por@Den 09:00PM ET",25.021,"Den"
"SF","Maurice Harkless",4900,"Por@Den 09:00PM ET",24.240,"Por"
"PF","Thaddeus Young",4800,"Ind@NO 08:00PM ET",24.462,"Ind"
"PF/C","Taj Gibson",4700,"Chi@Mil 08:00PM ET",26.781,"Chi"
"C","Robin Lopez",4600,"Chi@Mil 08:00PM ET",24.708,"Chi"
"SG/SF","Evan Turner",4600,"Por@Den 09:00PM ET",20.898,"Por"
"PG","Brandon Jennings",4600,"NY@GS 10:30PM ET",20.540,"NY"
"PG","Patty Mills",4500,"SA@Pho 09:00PM ET",21.290,"SA"
"C","Greg Monroe",4400,"Chi@Mil 08:00PM ET",24.000,"Mil"
"SF","P.J. Tucker",4400,"SA@Pho 09:00PM ET",17.520,"Pho"
"PF","Terrence Jones",4300,"Ind@NO 08:00PM ET",22.440,"NO"
"C","John Henson",4200,"Chi@Mil 08:00PM ET",19.655,"Mil"
"PG/SG","Jamal Murray",4200,"Por@Den 09:00PM ET",18.180,"Den"
"PG","Jameer Nelson",4100,"Por@Den 09:00PM ET",20.660,"Den"
"SG","Courtney Lee",4100,"NY@GS 10:30PM ET",19.217,"NY"
"SG","Gary Harris",4000,"Por@Den 09:00PM ET",19.400,"Den"
"C","Kenneth Faried",4000,"Por@Den 09:00PM ET",24.135,"Den"
"SG","Monta Ellis",4000,"Ind@NO 08:00PM ET",21.781,"Ind"
"SF","C.J. Miles",4000,"Ind@NO 08:00PM ET",20.163,"Ind"
"PG","Tony Parker",4000,"SA@Pho 09:00PM ET",19.441,"SA"
"C","Alex Len",4000,"SA@Pho 09:00PM ET",23.583,"Pho"
"SG/SF","Glenn Robinson III",3900,"Ind@NO 08:00PM ET",12.625,"Ind"
"PG/SG","Brandon Knight",3900,"SA@Pho 09:00PM ET",21.420,"Pho"
"SG/SF","Allen Crabbe",3800,"Por@Den 09:00PM ET",17.139,"Por"
"C","Jusuf Nurkic",3800,"Por@Den 09:00PM ET",23.420,"Den"
"C","Joakim Noah",3800,"NY@GS 10:30PM ET",20.964,"NY"
"PG","Langston Galloway",3800,"Ind@NO 08:00PM ET",18.125,"NO"
"PG/SG","Matthew Dellavedova",3700,"Chi@Mil 08:00PM ET",21.250,"Mil"
"PG","Jerian Grant",3700,"Chi@Mil 08:00PM ET",9.324,"Chi"
"SF/PF","Nikola Mirotic",3600,"Chi@Mil 08:00PM ET",20.385,"Chi"
"PF","Al-Farouq Aminu",3600,"Por@Den 09:00PM ET",20.021,"Por"
"PG/SG","Rodney Stuckey",3600,"Ind@NO 08:00PM ET",16.656,"Ind"
"SG","Manu Ginobili",3600,"SA@Pho 09:00PM ET",17.321,"SA"
"SG","Danny Green",3600,"SA@Pho 09:00PM ET",16.676,"SA"
"SF","Andre Iguodala",3500,"NY@GS 10:30PM ET",17.930,"GS"
"PG/SG","Leandro Barbosa",3500,"SA@Pho 09:00PM ET",11.510,"Pho"
"PF","David Lee",3500,"SA@Pho 09:00PM ET",16.500,"SA"
"PF","Marquese Chriss",3500,"SA@Pho 09:00PM ET",13.270,"Pho"
"C","JaVale McGee",3400,"NY@GS 10:30PM ET",9.398,"GS"
"SF","Solomon Hill",3400,"Ind@NO 08:00PM ET",16.423,"NO"
"PF","Jared Dudley",3400,"SA@Pho 09:00PM ET",18.417,"Pho"
"SF/PF","Michael Beasley",3300,"Chi@Mil 08:00PM ET",15.098,"Mil"
"PF/C","Ed Davis",3300,"Por@Den 09:00PM ET",14.056,"Por"
"SG","E'Twaun Moore",3300,"Ind@NO 08:00PM ET",20.000,"NO"
"PG/SG","Malcolm Brogdon",3200,"Chi@Mil 08:00PM ET",16.609,"Mil"
"SG/SF","Tony Snell",3200,"Chi@Mil 08:00PM ET",16.716,"Mil"
"SG","Buddy Hield",3200,"Ind@NO 08:00PM ET",13.356,"NO"
"SF","Doug McDermott",3100,"Chi@Mil 08:00PM ET",15.917,"Chi"
"PF","Mirza Teletovic",3100,"Chi@Mil 08:00PM ET",13.600,"Mil"
"C","Zaza Pachulia",3100,"NY@GS 10:30PM ET",16.848,"GS"
"C","Al Jefferson",3100,"Ind@NO 08:00PM ET",15.048,"Ind"
"C","Dewayne Dedmon",3100,"SA@Pho 09:00PM ET",15.026,"SA"
"PG","Jason Terry",3000,"Chi@Mil 08:00PM ET",7.458,"Mil"
"PG","Michael Carter-Williams",3000,"Chi@Mil 08:00PM ET",13.583,"Chi"
"SG","Isaiah Canaan",3000,"Chi@Mil 08:00PM ET",12.467,"Chi"
"SG","Khris Middleton",3000,"Chi@Mil 08:00PM ET",0,"Mil"
"SG","R.J. Hunter",3000,"Chi@Mil 08:00PM ET",0.417,"Chi"
"SG","Rashad Vaughn",3000,"Chi@Mil 08:00PM ET",8.000,"Mil"
"SF","Steve Novak",3000,"Chi@Mil 08:00PM ET",0.625,"Mil"
